mean_obj_0,mean_obj_1,mean_obj_2
12.847633361816406,10.229891777038574,-26.78451919555664
13.760197639465332,12.167081832885742,-33.76555252075195
19.491069793701172,18.251911163330078,-53.924224853515625
8.999677658081055,13.758440017700195,-31.9460506439209
25.09486198425293,16.255281448364258,-44.00639343261719
9.236438751220703,8.89876937866211,-21.352514266967773
7.138403415679932,8.438755989074707,-18.341773986816406
16.602285385131836,24.782611846923828,-57.17646408081055
29.785717010498047,23.524118423461914,-54.9879035949707
15.498689651489258,18.183794021606445,-44.177406311035156
5.350782871246338,6.900402069091797,-18.018571853637695
47.16021728515625,44.10454559326172,-81.1957015991211
12.103351593017578,20.464641571044922,-45.632076263427734
17.309507369995117,16.034448623657227,-42.30404281616211
53.4984245300293,57.585365295410156,-115.46087646484375
19.6112117767334,14.08081340789795,-36.51333236694336
41.77604675292969,50.107261657714844,-78.89764404296875
