individual,rank,ref_index,ref_distance,episode_length,train_obj_0,train_obj_1,train_obj_2
0,0,30,0.05731033751598699,500.0,502.0171022117138,289.18742847442627,432.3462424874306
1,0,15,0.06495011063249313,500.0,526.621662825346,249.14800187945366,407.52286809682846
2,0,15,0.15146200428483594,500.0,503.96222695708275,288.97261306643486,113.17996120452881
3,0,3,0.007678923778350622,470.0,535.6457577943802,177.31873452663422,455.7944263368845
4,0,8,0.18802677350131372,500.0,524.4044655561447,270.1786229610443,31.42477586865425
5,0,21,0.13754028327416098,500.0,500.752416908741,289.6499191522598,354.4085742235184
6,0,26,0.05140697270968833,500.0,518.3744661808014,281.79345190525055,434.21094676852226
7,0,35,0.025138980947988818,500.0,478.84384429454803,274.1169094443321,496.02225637435913
8,0,21,0.013797636502529555,500.0,508.6164100766182,288.0346070230007,350.7973130643368
9,0,15,0.04083725331818325,500.0,521.7067788541317,277.49864533543587,376.55125138163567
10,0,35,0.06261011205886308,500.0,493.4778026342392,285.26485562324524,484.97963312268257
11,0,33,0.06155838434594852,500.0,499.2247335612774,289.88378006219864,461.1498076915741
12,0,21,0.008425779561224379,500.0,507.72221425175667,287.97971871495247,352.44134828448296
13,0,8,0.06012814087495241,500.0,519.42177516222,277.7968179285526,176.06868106126785
14,0,30,0.05117731027408508,500.0,512.1187178790569,273.4443766474724,450.733810544014
15,0,26,0.057791350442795465,500.0,521.1260055303574,253.96229457855225,451.6326459944248
16,0,8,0.007314144140102354,500.0,511.5797112286091,285.3494894504547,-68.65941035747528
17,0,21,0.04759661562287698,500.0,511.3003559112549,286.62776497006416,354.80658945441246
18,0,15,0.0268831562979508,500.0,519.2034021317959,281.14185005426407,323.9378940463066
19,1,26,0.030262221495784326,500.0,500.95008182525635,288.78473776578903,387.33753204345703
20,1,8,0.09665649265426317,500.0,526.3933282196522,243.93631076812744,346.580473870039
21,1,10,0.038013525384640916,419.5,530.2532571852207,147.1526961028576,400.71517469733953
22,1,21,0.023370668003083225,500.0,518.0058853626251,278.98259061574936,399.22492241859436
23,1,21,0.023718807368031464,500.0,512.6696649193764,280.8838514983654,370.37614545226097
24,1,15,0.05865116945217515,492.0,519.8786995187402,263.338259100914,360.9637808948755
25,1,15,0.05582517425877213,500.0,521.51545342803,260.24904346466064,343.36552703380585
26,1,8,0.08218029868157593,500.0,521.0474247038364,271.03355675935745,235.39350578188896
27,1,33,0.036836216500012176,500.0,492.0324215590954,283.81232756376266,461.1365536749363
28,1,26,0.029573924093963363,500.0,496.87469667196274,289.39381381869316,388.6295195519924
29,1,30,0.07744128037577769,500.0,495.984007358551,288.1115905046463,419.0459635257721
30,2,17,0.11019113625513356,388.0,508.635605096817,4.494703859090805,368.184087254107
31,2,21,0.15150451963612682,470.0,497.4705905523151,235.26737841963768,259.8492496907711
32,2,33,0.0434402290031074,500.0,491.1653322279453,283.49562683701515,459.36604353785515
33,2,26,0.14108195805859863,500.0,496.35686764121056,288.4923175871372,349.2271880507469
34,2,26,0.055711462018790424,500.0,493.3797987997532,287.49669313430786,384.1333701312542
35,3,33,0.03711583811872756,500.0,478.69505739212036,279.2333423793316,452.8821663558483
