return_obj_0,return_obj_1,return_obj_2,return_obj_3
15.382834,14.876763,15.083715,17.804506
3.1963525,17.37665,16.023863,3.036729
6.511988,4.758704,4.1097474,7.3441315
17.804064,10.829766,19.93715,10.900892
15.960814,3.59138,12.10155,5.750333
21.177599,9.443031,15.404737,13.7605505
14.131927,7.1815658,15.876916,3.6436753
9.941247,16.928074,17.501024,7.056281
22.404041,9.041587,17.778055,11.881382
15.534947,8.614101,17.52024,7.2352495
18.201101,1.1734335,21.132853,-0.7507074
22.621086,2.055148,17.382029,4.742599
15.582698,13.584304,12.309856,15.213509
18.97329,11.852498,18.965675,12.130772
