target_id,target_return,target_horizon,eval_episodes,mean_episode_length,target_obj_0,target_obj_1,mean_obj_0,mean_obj_1,std_obj_0,std_obj_1,run_dir,seed,env_id
0,"[3.6219494342803955, -157.69564819335938]",300,5,300.0,3.621949434280396,-157.69564819335938,0.5712442099375957,-73.1588583946228,5.058437190563951,8.234874402229138,pareto_conditioned_networks/results/report_halfcheetah_seed_0,0,mo-halfcheetah-v5
1,"[29.052492141723633, -164.6818084716797]",300,5,300.0,29.052492141723636,-164.6818084716797,0.915145502913912,-106.88681862354278,2.1650476531246388,4.79493282552562,pareto_conditioned_networks/results/report_halfcheetah_seed_0,0,mo-halfcheetah-v5
2,"[29.10867691040039, -167.2327880859375]",300,5,300.0,29.10867691040039,-167.2327880859375,-1.1184344136349522,-114.04891846179962,3.741699493800742,4.382580776440101,pareto_conditioned_networks/results/report_halfcheetah_seed_0,0,mo-halfcheetah-v5
3,"[35.89558792114258, -172.66726684570312]",300,5,300.0,35.89558792114258,-172.66726684570312,2.224300739629127,-141.30800890922546,1.6205400096358078,44.5451638325196,pareto_conditioned_networks/results/report_halfcheetah_seed_0,0,mo-halfcheetah-v5
0,"[-9.111642837524414, -159.20162963867188]",300,5,300.0,-9.111642837524414,-159.20162963867188,-16.874012425920228,-348.5916050553322,5.1119798933979625,3.2182481941940653,pareto_conditioned_networks/results/report_halfcheetah_seed_1,1,mo-halfcheetah-v5
1,"[8.643577575683594, -161.1107940673828]",300,5,300.0,8.643577575683594,-161.1107940673828,-4.662349624770604,-377.2247704446316,4.039209635357521,22.56148085498757,pareto_conditioned_networks/results/report_halfcheetah_seed_1,1,mo-halfcheetah-v5
2,"[10.298473358154297, -165.02496337890625]",300,5,300.0,10.298473358154297,-165.02496337890625,-7.106132018899652,-405.70027839541433,8.477268415327167,39.18537566831827,pareto_conditioned_networks/results/report_halfcheetah_seed_1,1,mo-halfcheetah-v5
3,"[19.456804275512695, -165.75791931152344]",300,5,300.0,19.45680427551269,-165.75791931152344,13.2809148212276,-438.3423341393471,6.139044150234508,32.4217748784967,pareto_conditioned_networks/results/report_halfcheetah_seed_1,1,mo-halfcheetah-v5
4,"[23.880321502685547, -166.54563903808594]",300,5,300.0,23.880321502685547,-166.54563903808594,18.153512086934004,-440.19388180375097,7.170525416878574,43.42045335412218,pareto_conditioned_networks/results/report_halfcheetah_seed_1,1,mo-halfcheetah-v5
5,"[28.022998809814453, -172.86753845214844]",300,5,300.0,28.022998809814453,-172.86753845214844,21.559871774852866,-436.6560127139092,6.543773993827441,35.877525962404576,pareto_conditioned_networks/results/report_halfcheetah_seed_1,1,mo-halfcheetah-v5
6,"[30.771699905395508, -177.56268310546875]",300,5,300.0,30.771699905395508,-177.56268310546875,24.025936996972504,-422.9043032348156,7.553839297016279,33.131179930625855,pareto_conditioned_networks/results/report_halfcheetah_seed_1,1,mo-halfcheetah-v5
0,"[-10.630889892578125, -161.5260009765625]",300,5,300.0,-10.630889892578123,-161.5260009765625,-4.529819897349023,-433.8860954284668,1.9002075108421037,0.4934961609112781,pareto_conditioned_networks/results/report_halfcheetah_seed_2,2,mo-halfcheetah-v5
1,"[3.8225762844085693, -165.5460205078125]",300,5,300.0,3.822576284408569,-165.5460205078125,0.2784817574493975,-434.8644018173218,0.7000546814521347,0.0,pareto_conditioned_networks/results/report_halfcheetah_seed_2,2,mo-halfcheetah-v5
2,"[4.224384784698486, -166.42457580566406]",300,5,300.0,4.224384784698486,-166.42457580566406,0.2213949922719095,-434.8644018173218,0.3327780063584513,0.0,pareto_conditioned_networks/results/report_halfcheetah_seed_2,2,mo-halfcheetah-v5
3,"[15.758374214172363, -166.6728515625]",300,5,300.0,15.758374214172363,-166.6728515625,-0.40271369042471,-434.8644018173218,1.2241103826891078,0.0,pareto_conditioned_networks/results/report_halfcheetah_seed_2,2,mo-halfcheetah-v5
4,"[18.70165252685547, -171.56158447265625]",300,5,300.0,18.70165252685547,-171.56158447265625,-0.3043927491477688,-434.8644018173218,0.8178905163791009,0.0,pareto_conditioned_networks/results/report_halfcheetah_seed_2,2,mo-halfcheetah-v5
5,"[20.420194625854492, -171.6724395751953]",300,5,300.0,20.42019462585449,-171.6724395751953,-0.3573529956748441,-434.8644018173218,0.4752077038254911,0.0,pareto_conditioned_networks/results/report_halfcheetah_seed_2,2,mo-halfcheetah-v5
6,"[31.100759506225586, -173.05508422851562]",300,5,300.0,31.100759506225582,-173.05508422851562,-0.2663169374541724,-434.8644018173218,0.689653540926733,0.0,pareto_conditioned_networks/results/report_halfcheetah_seed_2,2,mo-halfcheetah-v5
7,"[41.932682037353516, -188.1635284423828]",300,5,300.0,41.93268203735352,-188.1635284423828,-0.0863732185066158,-434.8644018173218,0.5172754835048063,0.0,pareto_conditioned_networks/results/report_halfcheetah_seed_2,2,mo-halfcheetah-v5
